source,point_index,surface,x_physical_mean,y_physical_mean,y_physical_std,mean_d_score_d_x_normalized,mean_d_score_d_y_normalized,mean_sensitivity_normalized_l2,std_sensitivity_normalized_l2,mean_d_score_d_x_physical,mean_d_score_d_y_physical,norm_of_mean_physical_gradient_l2,mean_sensitivity_physical_l2,std_sensitivity_physical_l2,mean_critic_score,std_critic_score
real,79,lower,0.5029574036598206,-0.01360120065510273,0.016768665984272957,-0.044824253767728806,-0.0024188715033233166,0.04503485932946205,0.0038611055351793766,-0.044824253767728806,-0.008294174447655678,0.045585162937641144,0.04717627167701721,0.0044040377251803875,-0.0722363144159317,0.032633960247039795
real,80,lower,0.5258831977844238,-0.012335600331425667,0.01660255715250969,-0.0402405746281147,-0.0046378690749406815,0.04075910151004791,0.00538916140794754,-0.0402405746281147,-0.015902992337942123,0.04326903074979782,0.045769933611154556,0.0076757799834012985,-0.0722363144159317,0.032633960247039795
real,81,lower,0.5490378141403198,-0.01102839969098568,0.016445843502879143,-0.0329287126660347,0.0006343187997117639,0.03299599140882492,0.004126669839024544,-0.0329287126660347,0.0021750435698777437,0.03300046920776367,0.03370066359639168,0.0037296086084097624,-0.0722363144159317,0.032633960247039795
real,82,lower,0.572417140007019,-0.009687199257314205,0.016318846493959427,-0.0340547189116478,-0.003245168598368764,0.03449752554297447,0.00230914237909019,-0.0340547189116478,-0.011127499863505363,0.03582659736275673,0.0388287715613842,0.004125611390918493,-0.0722363144159317,0.032633960247039795
real,83,lower,0.5960146188735962,-0.00830020010471344,0.016229704022407532,-0.033490367233753204,-0.003230968490242958,0.03414514288306236,0.004260489717125893,-0.033490367233753204,-0.011078807525336742,0.03527526929974556,0.04021275416016579,0.006066878791898489,-0.0722363144159317,0.032633960247039795
real,84,lower,0.6198303699493408,-0.006947599351406097,0.01616017147898674,-0.029403280466794968,-0.002303165150806308,0.029776159673929214,0.004057933576405048,-0.029403280466794968,-0.007897423580288887,0.030445396900177002,0.033407434821128845,0.003718419698998332,-0.0722363144159317,0.032633960247039795
real,85,lower,0.6438559889793396,-0.005575999617576599,0.016123829409480095,-0.02745669148862362,-0.0069696553982794285,0.028790077194571495,0.0035165126901119947,-0.02745669148862362,-0.023898553103208542,0.036400698125362396,0.039498183876276016,0.011227894574403763,-0.0722363144159317,0.032633960247039795
real,86,lower,0.6680878400802612,-0.004177199676632881,0.016116654500365257,-0.0280781090259552,-0.0057863229885697365,0.028882909566164017,0.004100187681615353,-0.0280781090259552,-0.019840974360704422,0.034380875527858734,0.0359254814684391,0.009715533815324306,-0.0722363144159317,0.032633960247039795
real,87,lower,0.6925226449966431,-0.0027733996976166964,0.016112979501485825,-0.02562461420893669,-0.0038397822063416243,0.026021763682365417,0.004496918059885502,-0.02562461420893669,-0.01316639594733715,0.028809282928705215,0.029823899269104004,0.006851733196526766,-0.0722363144159317,0.032633960247039795
real,88,lower,0.7171615958213806,-0.0014829998835921288,0.01603240706026554,-0.023578161373734474,-0.005488920025527477,0.02426915429532528,0.0035222514998167753,-0.023578161373734474,-0.018821198493242264,0.03016897663474083,0.030503258109092712,0.006921922788023949,-0.0722363144159317,0.032633960247039795
