source,sample_index,dataset_index,point_index,surface,x_physical,y_physical,d_score_d_x_normalized,d_score_d_y_normalized,sensitivity_normalized_l2,d_score_d_x_physical,d_score_d_y_physical,sensitivity_physical_l2,critic_score
real,2,54670,84,lower,0.6196609735488892,0.0008750000270083547,-0.032535403966903687,-0.0014285570941865444,0.032566752284765244,-0.032535403966903687,-0.004898441955447197,0.03290208429098129,-0.0910978615283966
real,2,54670,85,lower,0.6436700224876404,0.0017729999963194132,-0.025143271312117577,-0.005878153722733259,0.025821246206760406,-0.025143271312117577,-0.020155858248472214,0.032224878668785095,-0.0910978615283966
real,2,54670,86,lower,0.6678860187530518,0.002678999910131097,-0.029033824801445007,-0.0025274029467254877,0.029143622145056725,-0.029033824801445007,-0.008666322566568851,0.030299639329314232,-0.0910978615283966
real,2,54670,87,lower,0.6923050284385681,0.0035920001100748777,-0.02796962484717369,-0.0024640350602567196,0.028077952563762665,-0.02796962484717369,-0.008449037559330463,0.029217908158898354,-0.0910978615283966
real,2,54670,88,lower,0.7169319987297058,0.004141000099480152,-0.021175041794776917,-0.004547523334622383,0.021657846868038177,-0.021175041794776917,-0.015593200922012329,0.026296963915228844,-0.0910978615283966
real,2,54670,89,lower,0.7417590022087097,0.004523000214248896,-0.023044751957058907,-0.0011936239898204803,0.023075643926858902,-0.023044751957058907,-0.004092869348824024,0.02340538799762726,-0.0910978615283966
real,2,54670,90,lower,0.7667779922485352,0.004908000119030476,-0.021612342447042465,-0.006001097150146961,0.02243003621697426,-0.021612342447042465,-0.02057742327451706,0.029841642826795578,-0.0910978615283966
real,2,54670,91,lower,0.7919849753379822,0.005297000054270029,-0.010200000368058681,-0.00319193908944726,0.010687772184610367,-0.010200000368058681,-0.010944979265332222,0.014961035922169685,-0.0910978615283966
real,2,54670,92,lower,0.817376971244812,0.005131999962031841,-0.011234018951654434,-0.0007898539770394564,0.011261751875281334,-0.011234018951654434,-0.0027083647437393665,0.011555883102118969,-0.0910978615283966
real,2,54670,93,lower,0.8429499864578247,0.004707000218331814,-0.012536488473415375,-0.010636742226779461,0.016440918669104576,-0.012536488473415375,-0.03647278994321823,0.038567185401916504,-0.0910978615283966
real,2,54670,94,lower,0.8687030076980591,0.004279999993741512,-0.012400364503264427,-0.0012180955382063985,0.01246004831045866,-0.012400364503264427,-0.0041767810471355915,0.0130848977714777,-0.0910978615283966
